block_loop.thisRepN,block_loop.thisTrialN,block_loop.thisN,block_loop.thisIndex,give_images_loop.thisRepN,give_images_loop.thisTrialN,give_images_loop.thisN,give_images_loop.thisIndex,rating_slider.response,imageCategory,ratingStart,ratingEnd,ratingDuration,imagesInBlock,experimentStart,experimentEnd,experimentDuration,neturalImagesOrder,phoneOnOrder,phoneOffOrder,blocksOrder,ratingList,ratingAverage,listRange,ratingStDev,ratingMedian,ratingVariance,participant,session,date,expName,psychopyVersion,frameRate,
0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
0,0,0,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
0,0,0,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
0,0,0,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
0,0,0,0,4,0,4,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
0,0,0,0,,,,,1.0,stim_phone_on,51.0024173999991,55.279106399999364,4.27668900000026,"['images/Phone_on_1.jpg', 'images/Phone_on_16.jpg', 'images/Phone_on_25.jpg', 'images/Phone_on_22.jpg', 'images/Phone_on_8.jpg']",,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
1,0,1,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
1,0,1,0,2,0,2,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
1,0,1,0,3,0,3,0,,,,,,,,,,,,,,,,,,,,434120,001,2023-01-16_19h17.27.901,24blocks,2022.2.4,240.24774347863334,
